species_name,latitude,longitude,location_description,depth_range,,,,
Odontaspis ferox,NA,NA,"Western Pacific Ocean north to Honshu Island, Japan; Newport Beach and Santa Barbara Island, southern California to Gulf of California; Colombia; Islas Galápagos; Desventuradas Islands, Chile",10-1015 m,,,,
Mitsukurina owstoni,NA,NA,"Western Pacific Ocean north to Honshu, Japan; San Clemente Island, southern California",surface to 1300 m,,,,
Pseudocarcharias kamoharai,26°52'N; 25°40'N,116°59'W; 129°00'W,"Western Pacific Ocean north to southern Japan; two records within our range, about 200 km off Punta Eugenia, southern Baja California, and further southward 960 km off southern Baja California","surface to 1,740 m",,,,
Megachasma pelagios,NA,NA,"Western Pacific Ocean north to northern Japan; Hawai’i; southern California; off Punta Eugenia, Baja California; Peru","8–1,000 m",,,,
Alopias pelagicus,NA,NA,"Western Pacific Ocean north to southern Japan; southern California to Panama, including southern tip of Baja California; Gulf of California; Islas Galápagos; Colombia and Peru",surface to at least 300 m,,,,
Alopias superciliosus,NA,NA,"Western Pacific Ocean north to southern Japan; Cape Mendocino, northern California to Gulf of California; Islas Galápagos; Colombia to Chile",surface to 955 m,,,,
Alopias vulpinus,NA,NA,"Western Pacific Ocean north to Hokkaido Island, Japan; west of Yakobi I., south-eastern Alaska to Chile, including Gulf of California",surface to 650 m,,,,
Cetorhinus maximus,26°42'N,113°35'W,"Yellow Sea, Seas of Japan and Okhotsk, and western North Pacific Ocean to eastern North Pacific south of Aleutian Islands and in Gulf of Alaska to at least Punta Abreojos, central Baja California; Colombia to Chile","surface to 1,501 m",,,,
Carcharodon carcharias,59°56'N; 60°17'N,178°56' W; 145°35'W,"Western Pacific Ocean north to Sea of Japan; northwest Bering Sea and Gulf of Alaska to Gulf of California to Nayarit, Mexican Pacific Ocean; Panama to Chile; Islas Galápagos","intertidal to 1,200 m",,,,
Isurus oxyrinchus,NA,NA,"Western Pacific Ocean north to Japan; British Columbia to Chile, and Islas Galápagos",surface to 888 m,,,,
Isurus paucus,21°44'N,112°10'W,"Western Pacific Ocean north to southern Japan; two records from southern California, and one specimen from well off Cabo San Lucas, Baja California","30–1,767 m",,,,
Lamna ditropis,NA,NA,Korea and Japan to Okhotsk and Bering Seas to Bering Strait; Gulf of Alaska to central Baja California; Isla Guadalupe,"surface to 1,864 m",,,,
Apristurus brunneus,58°N; 28°48'N,NA,"Icy Point, south-eastern Alaska to central Baja California; Panama to Chile; Islas Revillagigedo, Mexico","24–1,401 m",,,,
Apristurus kampae,48°00'N,NA,Washington to Gulf of California; Peru,"177–1,888 m",,,,
Cephaloscyllium ventriosum,NA,NA,"Monterey Bay, central California to Acapulco, Mexico, including Gulf of California; possibly from Ecuador to Chile",5–457 m,,,,
Cephalurus cephalus,NA,NA,"San Carlos, southern Baja California, to south of Mazatlan, including the southern Gulf of California and Islas Revillagigedo, and possibly southward to Panama, Peru, and Chile",155–927 m,,,,
Parmaturus xaniurus,47°52'N,NA,"Cape Foulweather, Oregon to Baja California and Gulf of California","88–1,519 m",,,,
Galeorhinus galeus,NA,NA,Northern British Columbia to Gulf of California; Ecuador to Chile,surf to 826 m,,,,
Mustelus albipinnis,NA,NA,"Off Bahía Magdalena, southern Baja California, and in Gulf of California, possibly to Ecuador and Islas Galápagos",6–281 m,,,,
Mustelus californicus,NA,NA,"Cape Mendocino, northern California to Mazatlán, Mexico, including Gulf of California, and Isla Guadalupe, central Baja California; Peru",intertidal to 265 m,,,,
Mustelus henlei,NA,NA,"Northern Washington to Gulf of California, and south to Peru",intertidal to 369 m,,,,
Mustelus lunulatus,NA,NA,"San Diego, southern California to Panama, and possibly to Talara, Peru, including Gulf of California",1–200 m,,,,
Triakis semifasciata,48°37.2'N,122°28.1'W,"Samish Bay, Washington to Mazatlán, Mexico, including Gulf of California, and Isla Guadalupe, central Baja California",intertidal to 156 m,,,,
Carcharhinus albimarginatus,NA,NA,"Indo-Pacific; western Pacific Ocean north to Ryuku Islands; Patchily distributed from Bahía Magdalena, southern Baja California to Ecuador, including Guatamala, Colombia, Islas Revillagigedo, Clipperton Islands, Isla Cocos, and Islas Galápagos",surface to 800 m or more,,,,
Carcharhinus altimus,NA,NA,"Central Baja California to northern Peru, including Gulf of California, and Islas Galápagos",surface to 810 m,,,,
Carcharhinus brachyurus,NA,NA,"Western Pacific Ocean north to central Japan; Santa Cruz Island, southern California to central Mexico; Colombia to Peru, including Gulf of California and Islas Galápagos",intertidal to 360 m,,,,
Carcharhinus cerdale,NA,NA,From central America and Peru,5–40 m,,,,
Carcharhinus falciformis,NA,NA,"Western Pacific Ocean at least as far northward as Ryukyu Islands; Lagunas Ojo de Liebre-Guerrero Negro, central Baja California to northern Chile, including Gulf of California, and Islas Galápagos",surface to 500 m or more,,,,
Carcharhinus galapagensis,NA,NA,"Western Pacific Ocean north to Ogasawara Islands; patchily distributed from central Baja California, and Rocas Alijos, southern Baja California, to Peru, and Easter Island, including Gulf of California and Islas Galápagos",surface to 371 m,,,,
Carcharhinus leucas,NA,NA,"Possibly southern California; western Pacific Ocean north to about Okinawa, Japan; Isla Guadalupe, central Baja California, southern Baja California to Paita, Peru, including Gulf of California",surface (1 m or less) to 164 m,,,,
Carcharhinus limbatus,NA,NA,"Ensenada, northern Baja California to northern Peru, including Gulf of California, and Islas Galápagos",surface to 160 m,,,,
Carcharhinus longimanus,NA,NA,"Western Pacific Ocean north to Ryukyu Islands; unconfirmed reports from central California, perhaps Gaviota, southern California, and Cortes Bank, southern California, to Puerto Pizarro, Peru, including Gulf of California, and Islas Galápagos","at or near surface to 1,190 m",,,,
Carcharhinus obscurus,NA,NA,"Western Pacific Ocean north to central Japan; Redondo Beach, southern California to Gulf of California; unconfirmed from northern Chile",intertidal to 573 m,,,,
Galeocerdo cuvier,NA,NA,"Western Pacific Ocean north to Honshu Island, Japan; Prince William Sound, Gulf of Alaska; southern California to Peru, including Islas Galápagos, and Gulf of California","surface and intertidal to 1,136 m",,,,
Nasolamia velox,NA,NA,"Off Malibu, southern California; central Baja California and Gulf of California to Puerto Pizarro, Peru, including Gulf of California, and Islas Galápagos",2–192 m,,,,
Negaprion brevirostris,NA,NA,"Pacific and Atlantic Oceans; Bahía Magdalena, southern Baja California and Gulf of California to northern Peru",intertidal to 120 m,,,,
Prionace glauca,NA,NA,"Western Pacific Ocean north to southern Kuril Islands; Kodiak Island, western Gulf of Alaska to Chile, including Gulf of California, and Islas Galápagos","surface to about 1,000 m",,,,
Rhizoprionodon longurio,NA,NA,"Long Beach, southern California to Paita, Peru, including Gulf of California","intertidal to at least 27 m, and perhaps to 100 m",,,,
Triaenodon obesus,23°24.6'N,110°13.8'W,"Western Pacific Ocean north to Ogasawara Islands; at least as far north as Todos Santos, southern Baja California; Islas Revillagigedo, southern Baja California to Ecuador, including Islas Galápagos, and westwards to Kermadec Islands",surface to 330 m,,,,
Sphyrna corona,NA,NA,"Gulf of California to northern Peru, including the southern tip of Baja California, now rare north of Colombia",inshore to perhaps 100 m,,,,
Sphyrna lewini,NA,NA,"Western Pacific Ocean north to southern Japan; several southern California records as far north as Santa Barbara, southern California and south to Puerto Pizarro, Peru, including Islas Galápagos","surface to at least 1,043 m",,,,
Sphyrna media,NA,NA,Gulf of California and tip of Baja California to Ecuador and probably northern Peru; western Atlantic,surface to 100 m,,,,
Sphyrna mokarran,NA,NA,"Western Pacific Ocean north to Kyushu, Japan; Bahía Magdalena, southern Baja California to northern Peru, including Islas Galápagos; Gulf of California population perhaps extirpated",surface to at least 300 m,,,,
Sphyrna tiburo,NA,NA,"Formerly San Diego, southern California to Paita, Peru; western Atlantic; Last documented specimen north of Colombia was captured in Mexico; Rare from Colombia to Peru",intertidal to 90 m,,,,
Sphyrna zygaena,NA,NA,"Western Pacific Ocean north to Hokkaido, Island, Japan; central California to Gulf of California to Bahía de San Antonio, Chile, including Islas Galápagos","surface to at least 200 m, and possibly to 420 m or more",,,,
Chlamydoselachus anguineus,NA,NA,"Western Pacific Ocean north to Japan; one record from off Point Arguello, central California, and one from off Chile","surface to 1,570 m",,,,
Hexanchus griseus,NA,NA,"Western Pacific Ocean north to southern Japan; eastern North Pacific Ocean south of Aleutian Islands to Gulf of California to Chile, including Islas Galápagos","surface to at least 2,490 m",,,,
Notorynchus cepedianus,NA,NA,"Western Pacific Ocean north to Japan; south-eastern Alaska to southern Baja California and Colombia to Chile, including Islas Galápagos",less than 1 m to 570 m,,,,
Echinorhinus cookei,NA,NA,"Indo-Pacific; southern Japan to Moolach Beach, Oregon to barely into Gulf of California to Chile, including Islas Galápagos, Islas Revillagigedo, and Hawai'i","4–1,100 m",,,,
Squalus suckleyi,NA,NA,"Koreas northward to Russia to Bering Sea and south-eastern Chukchi Sea (near Kotzebue), Alaska to southern Baja California","intertidal and from surface to 1,460 m",,,,
Centroscyllium nigrum,NA,NA,"Southern California and northern Baja California to central Chile, Isla del Cocos, Islas Galápagos, and Hawai'i","269–1,212 m",,,,
Etmopterus benchleyi,NA,NA,"Isla Guadalupe, central Baja California; Nicaragua to Panama","836–1,470 m",,,,
Somniosus pacificus,66°20' N,165°47'W,"Taiwan to Bering Sea to south-eastern Chukchi Sea, and on Russian side of southern Chukchi Sea to Pacific Ocean off southern Baja California; possible hybrids of this species and Somniosus microcephalus have been taken somewhat west of Baffin Bay, eastern Canada","surface, intertidal to about 2,205 m",,,,
Zameus squamulosusv,33°43'N,118°32'W,Western Pacific Ocean north to southern Kuril Islands; one record from southern California; Peru and Chile,"surface to 1,511 m, perhaps to about 2,000 m",,,,
Euprotomicrus bispinatus,NA,NA,"Circumglobal; a few caught about 500 miles off central and southern California; Chile and Peru, and Easter Island","surface (at night) to at least 1,500 m",,,,
Isistius brasiliensis,13°46'S,NA,"Western Pacific Ocean north to Hokkaido, Japan; documented as far north as San Nicolas Island, southern California, and probably at least as far north as Año Nuevo, central California to Peru, and Islas Galápagos","surface to 3,700 m",,,,
Squatina californica,48°24'N,123°21'W,"Clover Point, Vancouver Island to Gulf of California",intertidal to 205 m,,,,
Tetronarce californica,23°24.6'N,110°13.8'W,"Western Pacific Ocean off Sanriku, Japan and South Kuril Islands and Kinmei Seamount; Wiah Point, Graham Island, northern British Columbia to Todos Santos, southern Baja California, including Isla Guadalupe, central Baja California, and Peru","intertidal to at least 406 m, and possibly to 1,079 m",,,,
Diplobatis ommata,26°13.8'N,112°28.6'W,"Bahía San Juanico, southern Baja California to Ecuador, including Gulf of California",intertidal to 155 m,,,,
Narcine entemedorv,28°14'N,114°05'W),"Laguna Manuela, central Baja California to Caleta La Cruz, Peru, including Gulf of California",intertidal to 100 m,,,,
Pristis pristis,25.58°N,NA,"Pacific and Atlantic Oceans; originally Topolobampo or Mazatlan, Mexico to Peru; now greatly reduced or extirpated outside of Nicaragua, Panama, and Colombia",0–60 m,,,,
Pseudobatos glaucostigmus,NA,NA,"Bahía Magdalena, southern Baja California Sur to Ecuador, including Gulf of California",intertidal to 112 m,,,,
Pseudobatos prahli,23.41°N,NA,"Todos Santos, southern Baja California; Gulf of Tehuantepec, and southern Costa Rica to northern Peru","18–24 m, and possibly to 70 m",,,,
Pseudobatos productus,NA,NA,"San Francisco, northern California to southern Mexico, including Gulf of California",1–91 m,,,,
Pseudobatos leucorhynchus,NA,NA,"Lagunas Ojo de Liebre-Guerrero Negro, central Baja California to northern Peru, including Gulf of California, and Islas Galápagos",intertidal to 50 m,,,,
Zapteryx exasperata,NA,NA,"Jalama Beach, central California, to Gulf of California, to at least Mazatlan, Mexico; a record from Peru likely refers to another species",intertidal to 200 m,,,,
Bathyraja abyssicola,56°07'N,169°07'W,"Southern Japan, Sea of Okhotsk, western Bering Sea, and eastern Bering Sea, Aleutian Islands south of Tanaga Island, and north of Unalaska Island, eastern Gulf of Alaska, and northern British Columbia, to Islas Coronados, northern Baja California",362–2905 m,,,,
Bathyraja aleutica,35°20.4’N; 36°12’N,NA,"Chiba Prefecture, Japan to Bering Sea to south-eastern Alaska, and northern British Columbia to central California",15–1602 m,,,,
Bathyraja interrupta,NA,NA,Bering Sea and eastern Aleutian Islands through the Gulf of Alaska to the southern Strait of Georgia,"26–1,380 m",,,,
Bathyraja kincaidii,NA,NA,Southeastern Alaska to northern Baja California,"18–1,372 m",,,,
Bathyraja lindbergi,55°40’N,135°20’W,Sea of Okhotsk off Hokkaido to Bering Sea and Aleutian Islands to south-eastern Alaska,"34–1,200 m ",,,,
Bathyraja maculata,NA,NA,"Sea of Okhotsk and northern Sea of Japan to Bering Sea, and Aleutian Islands, to the Dixon Entrance, south-eastern Alaska","73–1,200 m",,,,
Bathyraja mariposa,NA,NA,"Aleutian Islands, Alaska from Petrel Bank to the Islands of Four Mountains",90-457 m,,,,
Bathyraja matsubarai,NA,NA,Northern Japan and Sea of Okhotska,120-2000 m,,,,
Bathyraja microtrachys,48°35’N,126°53’W,"Southwest of Tofino, Vancouver Island to central Baja California",1126-3322 m,,,,
Bathyraja minispinosa,NA,NA,Sea of Okhotsk off Hokkaido and Pacific Ocean off Kuril Islands to Commander Islands and Bering Sea to Aleutian Islands; northern British Columbia close to Alaska border,106-1420 m,,,,
Bathyraja panthera,NA,between 170° and 179°W,Aleutian Islands and Petrel Bank,48-396 m,,,,
Bathyraja parmifera,NA,NA,"North-western Sea of Okhotsk, Western Bering Sea, at Ozernoy Bay, Kamchatka to south-eastern Chukchi Sea to central and eastern Aleutian Islands and south-eastern Alaska",17-392 m,,,,
Bathyraja spinosissima,56°08’N,169°19’W,"From the eastern Bering Sea, Port Waldport, Oregon, Mexican mainland at Sinaloa, and southern Gulf of California); Isla del Cocos, Costa Rica); Islas Galápagos","800–2,938 m",,,,
Bathyraja taranetzi,NA,NA,Pacific coast of Kuril Islands and Kamchatka to Bering Sea and Aleutian Islands,17-1063 m,,,,
Bathyraja trachura,31°30’N,118°08’W,"Sea of Okhotsk and northern Kuril Islands to Cape Navarin, western Bering Sea, Commander–Aleutian Chain, and eastern Bering Sea and Gulf of Alaska, to off Ensenada, northern Baja California; north of Isla Guadalupe, central Baja California; mid–Gulf of California",at least 300-2900 m,,,,
Bathyraja violacea,NA,NA,"Seas of Okhotsk and Japan, and Pacific Ocean off Hokkaido to north-western Bering Sea off Cape Navarin, Russia, and northeastern Bering Sea; ; western Aleutian Islands",23-1110 m,,,,
Amblyraja hyperborea,NA,NA,"Cosmopolitan; primarily in high latitudes in northern and southern hemispheres; polar basins southward to Beaufort Sea of Alaska and western Canada, to Chukchi Borderland; also southern Sea of Okhotsk and Pacific coast of northern Japan to Navarin Canyon, northern Bering Sea",92-3167 m,,,,
Beringraja binoculata,22°54’N,110°02’W,"Bering Sea and Aleutian Islands, at least as far west as Unalaska Island, to eastern Gulf of Alaska, to Cabo Falsa, southern Baja California, and Gulf of California",2-501 m,,,,
Beringraja inornata,NA,NA,Strait of Juan de Fuca to southern Baja California and Gulf of California,3-300 m,,,,
Beringraja rhina,25°59’N,113°17’W,"Southeastern Bering Sea to just below Punta San Juanico, southern Baja California, and Gulf of California",9-1294 m,,,,
Beringraja stellulata,50°56.5’N,128°45.3’W,"Queen Charlotte Sound, British Columbia to Isla de Cedros, and Bahía de Sebastian Vizcaino, central Baja California and northern Gulf of California.",2 m or less to at least 400 m,,,,
Rostroraja equatorialis,4°43’S,81°23’W,"Laguna de San Ignacio, southern Baja California to Peru",20-200 m,,,,
Rostroraja velezi,NA,NA,"Bahía San Juanico, southern Baja California to west and southwest Gulf of California to Peru; Islas Galápagos and Malpelo",no deeper than 20 m,,,,
Platyrhinoidis triseriata,NA,NA,"Tomales Bay, northern California to Bahía Magdalena Complex",surface to 137 m,,,,
Urobatis concentricus,27°53’N,115°04’W,"Isla de Cedros and, off mainland, Rocas Chester, central Baja California to Bahía Huatulco, Oaxaca, southern Mexico",1–120 m ,,,,
Urobatis halleri,NA,NA,"Humboldt Bay, northern California to Panama, and possibly Peru, including Gulf of California",0.3–91 m ,,,,
Urobatis maculatus,NA,NA,"Lagunas Ojo de Liebre-Guerrero Negro, central Baja California and Gulf of California to Puerto Vallarta, Mexico",1-90 m,,,,
Urotrygon aspidura,NA,NA,"Bahía Magdalena, southern Baja California to Paita, Peru, and Gulf of California",3-100 m,,,,
Urotrygon chilensis,NA,NA,"Bahía Magdalena, southern Baja California to Chile, including Gulf of California",1-60 m,,,,
Urotrygon munda,NA,NA,"Punta Eugenia, central Baja California and Gulf of California to Callao, Peru",1-80 m,,,,
Urotrygon rogersi,NA,NA,"Bahía San Juanico, southern Baja California to Ecuador, including Gulf of California, including Gulf of California",2–235 m,,,,
Hypanus dipterurus,NA,NA,"Malibu, southern California to northern Chile and Islas Galápagos, including Gulf of California, Hawaiian Islands",intertidal-150 m,,,,
Hypanus longus,NA,NA,"Bahía San Juanico, southern Baja California to Ecuador, and probably to northern Peru, and Islas Galápagos",shallow waters to at least 118 m,,,,
Pteroplatytrygon violacea,NA,NA,"Circumglobal; western Pacific Ocean north to southern Kuril Islands; British Columbia to Baja California to central Chile, and Islas Galápagos",surface to 381 m,,,,
Gymnura marmorata,28°19.2’N,NA,"Point Conception, California through Baja California Peninsula, and eastern Gulf of California, and to at least El Chuyudo, Sonora, Mexico",intertidal-94 m,,,,
Aetobatus laticeps,NA,NA,"Bahía Almejas, southern Baja California to Los Organos, Peru, including Islas Galápagos and Gulf of California",shallow bays and estuaries to 82 m,,,,
Myliobatis californica,NA,NA,"Yaquina Bay, Oregon to Gulf of California, including Islas Galápagos",surface-176 m,,,,
Myliobatis longirostris,NA,NA,"Ensenada, northern Baja California to Mazatlan, Mexico, including Gulf of California; from Guatamala to Sechura, Peru",to 64 m,,,,
Mobula birostris,40°N and 40°S; 12°S,NA,"Western Pacific Ocean north to Okinawa; Santa Barbara, southern California to Peru including Gulf of California, and Islas Galápagos","surface to at least 1,000 m",,,,
Mobula mobular,NA,NA,"Western Pacific Ocean north to Korea and northern Japan; central California to Peru, including Gulf of California",surface-700 m,,,,
Mobula munkiana,23°24.6’N,110°13.8’W,"Todos Santos, southern Baja California; Gulf of California to Peru, Islas Galápagos and other offshore islands",surface to 30 m,,,,
Mobula tarapacana,NA,NA,"Circumglobal; western Pacific Ocean north to northern Japan; southern Baja California to Chile, including Gulf of California","surface to over 2,000 m",,,,
Mobula thurstoni,NA,NA,"Southern Baja California through Gulf of California, Guatamala to Panama, and Ecuador",surface to 100 m ,,,,
Rhinoptera steindachneri,NA,NA,"Bahía de Sebastian Vizcaino, central Baja California, to Gulf of California, to Peru, and Islas Galápagos",surface to about 77 m,,,,
Acipenser medirostris,NA,NA,"Peter the Great Bay, Sea of Japan to Tohoku, Japan to Pacific coast of Kamchatka, Bering Sea, and Gulf of Alaska to just south of Bahía de San Quintin, northern Baja California",to 167 m,,,,
Acipenser transmontanus,NA,NA,"Northern Gulf of Alaska to Bahía de Todos Santos, northern Baja California",to 122 m,,,,
Elops affinis,NA,NA,"Mandalay Beach, southern California to Talara, Peru, including Gulf of California",1-10 m,,,,
Albula gilberti,NA,NA,"San Francisco, northern California, along west coast of Baja California, and into the Gulf of California to Acapulco, Mexico",intertidal-27 m,,,,
Albula pacifica,23°56.8’N,110°51.1’W,"Marquis Point, southern Baja California to Ecuador, including at least southern Gulf of California",depth: to 10 m,,,,
Aldrovandia oleosa,54°04’N,134°07’W),"Circumglobal; two collected off Haida Gwaii, British Columbia, and another just north of the U.S.–Mexico border","819–3,300 m ",,,,
Halosaurus attenuatus,NA,NA,Southern Baja California to Gulf of California to Panama; Islas Galápagos; eastern Atlantic,1113-2500 m,,,,
Notacanthus chemnitzii,59°22’N,178°28’W,Greenland; western Pacific Ocean off Japan; Sea of Okhotsk; northern Bering Seato Chile,"126–3,285 m",,,,
Polyacanthonotus challengeri,60°10’N,179°41’W,"Circumglobal, predominantly antitropical, on the continental rise; western Pacific Ocean north off northern Sea of Japan off Hokkaido and western North Pacific off southern Honshu to northern Bering Sea to Cape Falcon, Oregon","700–3,753 m ",,,,
Thalassenchelys coheni,48°40’N,126°43’W,"Western North Pacific to southern British Columbia to Isla Guadalupe, central Baja California","perhaps 3 m to 1,745 m ",,,,
Chlopsis apterus,23°24.6’N; 23°03’N,110°13.8’W; 109°28’W,"Near Todos Santos, southern Baja California; tip of Baja California and mouth of Gulf of California to Colombia",80–155 m ,,,,
Anarchias galapagensis,NA,NA,"Lower Gulf of California to Colombia, including tip of southern Baja California, and Islas Galápagos",0-61 m,,,,
Echidna nebulosa,NA,NA,"Indo-Pacific; western Pacific Ocean north to Kochi, Japan; Cabo San Lucas, southern Baja California to Colombia, including lower Gulf of California, and Islas Galápagos",intertidal to 48 m,,,,
Echidna nocturna,24°47’N,112°16’W,"Bahía Santa Maria, southern Baja California, Gulf of California to Peru, including southern tip of Baja California, and Islas Galápagos",intertidal to 30 m,,,,
Enchelycore octaviana,NA,NA,"Gulf of California to Peru, including southern tip of Baja California, and Islas Galápagos",2-40 m,,,,
Gymnomuraena zebra,NA,NA,"Indo Pacific; western Pacific Ocean north to Yonaguni-jima Island, Japan; Gulf of California to southern tip of Baja California, and central America to Peru, including Islas Galápagos",1-50 m,,,,
Gymnothorax castaneus,NA,NA,"Isla de Cedros, central Baja California, and Bahía Magdalena, southern Baja California to Ecuador, and perhaps to Chipana, northern Chile, including Gulf of California, and Islas Galápagos",intertidal-101 m,,,,
Gymnothorax dovii,NA,NA,"Isla de Cedros, central Baja California to Gulf of California to Ecuador, and offshore islands including Islas Galápagos",intertidal-160 m,,,,
Gymnothorax equatorialis,27°37’N,114°55’W,"Bahía San Cristóbal, southern Baja California, Gulf of California to Iquique, northern Chile, including southern tip of Baja California",5–183 m ,,,,
Gymnothorax flavimarginatus,NA,NA,"Indo-Pacific; western Pacific Ocean north to Yonaguni-jima Island, Japan; Bahía Santa Maria, southern Baja California; tip of Baja California, Costa Rica to Panama and offshore islands",0.5–150 m,,,,
Gymnothorax mordax,23°24.6’N,110°13.8’W,"Point Conception, California to Todos Santos, southern Baja California, including Isla Guadalupe, central Baja California, and Rocas Alijos",lower intertidal-40 m,,,,
Gymnothorax panamensis,24°45’N,112°15.9’W,"Isla Guadalupe, central Baja California; Punta Hughes, southern Baja California to Chile, including Gulf of California, Islas Galápagos, and other offshore islands",intertidal-107 m,,,,
Gymnothorax phalarus,NA,NA,Tip of Baja California and south-eastern Gulf of California to Peru,25-933 m,,,,
Gymnothorax verrilli,NA,NA,"Bahía Magdalena, southern Baja California; Chiapas, Mexico to Panama",intertidal-18 m,,,,
Muraena argus,NA,NA,"Santa Catalina Island and Redondo Beach, southern California, La Jolla, southern California, and Bahía Magdalena, southern Baja California to Islas Lobos de Afuera, Peru, including Islas Galápagos, Gulf of California, and other offshore islands",5-120 m,,,,
Muraena clepsydra,NA,NA,"Cabo San Lucas, southern Baja California to northern Peru, including lower Gulf of California and Islas Galápagos",intertidal-25 m,,,,
Muraena lentiginosa,NA,NA,"Bahía Magdalena, southern Baja California to Islas Lobos de Afuera, Peru, including Gulf of California, Islas Galápagos, and other offshore islands",intertidal-27 m,,,,
Scuticaria tigrina,NA,NA,"Indo-Pacific; western Pacific Ocean north to Taiwan; Gulf of California to Colombia, including southern tip of Baja California",3-25 m,,,,
Uropterygius macrocephalus,23°56.8’N,110°52.2’W,"Indo-Pacific; western Pacific Ocean north to at least Taiwan; Punta Marquez, southern Baja California to Peru, including Gulf of California, Islas Galápagos, and other offshore islands",intertidal to at least 15 m,,,,
Uropterygius polystictus,NA,NA,"Gulf of California to southern tip of Baja California to Colombia, including Islas Galápagos",0.3–35 m ,,,,
Uropterygius versutus,NA,NA,"Southern tip of Baja California to Colombia, including Islas Galápagos and other offshore islands",intertidal-40 m,,,,
Histiobranchus bathybius,about 12°27.2’N,about 116°38.9’W,"Circumglobal; western Pacific Ocean north to Japan and Russian North-western Pacific, was observed in the Clarion-Clipperton Zone, well south of the Cabo San Lucas record","295–4,855 m",,,,
Synaphobranchus affinis,NA,NA,"Circumglobal; western Pacific Ocean north to Russian Western Pacific; unknown in eastern North Pacific except for one Bering Sea, Alaska record; Hawai’i",290-2400 m,,,,
Synaphobranchus brevidorsalis,50°13’N,129°46’W,"Circumglobal; western Pacific Ocean north to Pacific coast of Japan; Paul Revere Ridge, west of Vancouver Island","surface to 2,960 m",,,,
Bascanichthys bascanoides,NA,NA,"Bahía Almejas, southern Baja California; central Gulf of California to Panama and Isla del Cocos, Costa Rica",surface-20 m,,,,
Callechelys cliffi,NA,NA,"Gulf of California to Panama, including southern tip of Baja",surface-30 m,,,,
Callechelys eristigma,NA,NA,"Gulf of California to Costa Rica, including southern tip of Baja California",2-25 m,,,,
Ethadophis merenda,27°38’N,114°50’W,"Bahía Thurloe, southern Baja California.",NA,,,,
Herpetoichthys fossatus,NA,NA,"Gulf of California, including Cabo San Lucas, southern Baja California, Peru, and Islas Galápagos",5-40 m,,,,
Ichthyapus selachops,NA,NA,"Costa Rica to Ecuador (Robertson and Allen 2008) to southern tip of Baja California, including Islas Galápagos and other offshore islands",intertidal-34 m,,,,
Letharchus rosenblatti,NA,NA,"Gulf of California to Ecuador, including southern tip of Baja California",intertidal-17 m,,,,
